"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE","airnowval","aqsval"
"11/24/2017","AQS","360810124","1","40.3","ppb","38","QUEENS COLLEGE 2","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153",".","40.3"
"11/25/2017","AQS","360810124","1","45.1","ppb","42","QUEENS COLLEGE 2","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153",".","45.1"
"11/26/2017","AQS","360810124","1","23.8","ppb","22","QUEENS COLLEGE 2","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153",".","23.8"
"11/27/2017","AQS","360810124","1","30.9","ppb","28","QUEENS COLLEGE 2","21","88.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153",".","30.9"
"11/28/2017","AQS","360810124","1","37.1","ppb","35","QUEENS COLLEGE 2","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153",".","37.1"
"11/29/2017","AQS","360810124","1","31","ppb","29","QUEENS COLLEGE 2","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153",".","31"
"11/30/2017","AQS","360810124","1","33.5","ppb","31","QUEENS COLLEGE 2","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153",".","33.5"
"12/01/2017","AQS","360810124","1","30.8","ppb","28","QUEENS COLLEGE 2","22","92.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153",".","30.8"
"12/02/2017","AQS","360810124","1","34.3","ppb","32","QUEENS COLLEGE 2","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153",".","34.3"
"12/03/2017","AQS","360810124","1","34.5","ppb","32","QUEENS COLLEGE 2","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153",".","34.5"
