"Date","Source","Site ID","POC","Daily Max 1-hour SO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE","airnowval","aqsval"
"03/10/2006","AQS","360810124","1","7","ppb","10","QUEENS COLLEGE 2","24","100.0000","42401","Sulfur dioxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153",".","7"
"03/11/2006","AQS","360810124","1","8","ppb","11","QUEENS COLLEGE 2","24","100.0000","42401","Sulfur dioxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153",".","8"
"03/12/2006","AQS","360810124","1","9","ppb","13","QUEENS COLLEGE 2","18","75.0000","42401","Sulfur dioxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153",".","9"
"03/13/2006","AQS","360810124","1","14","ppb","20","QUEENS COLLEGE 2","24","100.0000","42401","Sulfur dioxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153",".","14"
"03/14/2006","AQS","360810124","1","13","ppb","19","QUEENS COLLEGE 2","24","100.0000","42401","Sulfur dioxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153",".","13"
"03/15/2006","AQS","360810124","1","8","ppb","11","QUEENS COLLEGE 2","24","100.0000","42401","Sulfur dioxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153",".","8"
"03/16/2006","AQS","360810124","1","5","ppb","7","QUEENS COLLEGE 2","24","100.0000","42401","Sulfur dioxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153",".","5"
"03/17/2006","AQS","360810124","1","6","ppb","9","QUEENS COLLEGE 2","24","100.0000","42401","Sulfur dioxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153",".","6"
"03/18/2006","AQS","360810124","1","4","ppb","6","QUEENS COLLEGE 2","24","100.0000","42401","Sulfur dioxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153",".","4"
"03/20/2006","AQS","360810124","1","7","ppb","10","QUEENS COLLEGE 2","24","100.0000","42401","Sulfur dioxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153",".","7"
"03/21/2006","AQS","360810124","1","14","ppb","20","QUEENS COLLEGE 2","24","100.0000","42401","Sulfur dioxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153",".","14"
"03/22/2006","AQS","360810124","1","11","ppb","16","QUEENS COLLEGE 2","24","100.0000","42401","Sulfur dioxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153",".","11"
"03/23/2006","AQS","360810124","1","7","ppb","10","QUEENS COLLEGE 2","21","88.0000","42401","Sulfur dioxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153",".","7"
"03/24/2006","AQS","360810124","1","12","ppb","17","QUEENS COLLEGE 2","24","100.0000","42401","Sulfur dioxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153",".","12"
"03/25/2006","AQS","360810124","1","3","ppb","4","QUEENS COLLEGE 2","24","100.0000","42401","Sulfur dioxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153",".","3"
"03/26/2006","AQS","360810124","1","6","ppb","9","QUEENS COLLEGE 2","24","100.0000","42401","Sulfur dioxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153",".","6"
"03/27/2006","AQS","360810124","1","7","ppb","10","QUEENS COLLEGE 2","24","100.0000","42401","Sulfur dioxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153",".","7"
"03/28/2006","AQS","360810124","1","8","ppb","11","QUEENS COLLEGE 2","24","100.0000","42401","Sulfur dioxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153",".","8"
"03/29/2006","AQS","360810124","1","15","ppb","21","QUEENS COLLEGE 2","24","100.0000","42401","Sulfur dioxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153",".","15"
"03/30/2006","AQS","360810124","1","41","ppb","57","QUEENS COLLEGE 2","24","100.0000","42401","Sulfur dioxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153",".","41"
